university_id,name,campus,city,province,type,delivery_mode,shift,fee_per_semester,merit_min,scholarships_offered,metrics,prospectus_url,xai_explanation,website,hec_category,market_value,affordability_rank,manual_check_required
U006_EVE,Air University,Pakistan Avenue E-9 Campus,Islamabad,Islamabad Capital Territory,Public,On-campus,Evening,,,"[{""name"": ""HEC Ehsaas Undergraduate"", ""criteria"": ""Income < 500K PKR"", ""coverage"": ""100% Tuition""}, {""name"": ""University Merit Scholarship"", ""criteria"": ""High FSc Score / Test Top Positions"", ""coverage"": ""Varies Tuition Waiver""}]","{""affordability_score"": null, ""merit_probability"": null, ""market_value"": null}",https://au.edu.pk/admissions,NULL - Agent fetch real-time fee for demanded dept,https://au.edu.pk/admissions,W3,50,Standard,False
U007_MOR,Institute of Space Technology (IST),H-12 Sector Campus,Islamabad,Islamabad Capital Territory,Public,On-campus,Morning,,,"[{""name"": ""HEC Ehsaas Undergraduate"", ""criteria"": ""Income < 500K PKR"", ""coverage"": ""100% Tuition""}, {""name"": ""University Merit Scholarship"", ""criteria"": ""High FSc Score / Test Top Positions"", ""coverage"": ""Varies Tuition Waiver""}]","{""affordability_score"": null, ""merit_probability"": null, ""market_value"": null}",https://ist.edu.pk/admissions,NULL - Agent fetch real-time fee for demanded dept,https://ist.edu.pk/admissions,W3,50,Standard,False
U008_MOR,National University of Computer & Emerging Sciences (FAST-NUCES),H-11/4 Campus,Islamabad,Islamabad Capital Territory,Private Non-Profit,On-campus,Morning,,,"[{""name"": ""HEC Ehsaas Undergraduate"", ""criteria"": ""Income < 500K PKR"", ""coverage"": ""100% Tuition""}, {""name"": ""University Merit Scholarship"", ""criteria"": ""High FSc Score / Test Top Positions"", ""coverage"": ""Varies Tuition Waiver""}]","{""affordability_score"": null, ""merit_probability"": null, ""market_value"": null}",https://nu.edu.pk/admissions,NULL - Agent fetch real-time fee for demanded dept,https://nu.edu.pk/admissions,W3,50,Standard,False
U008_EVE,National University of Computer & Emerging Sciences (FAST-NUCES),H-11/4 Campus,Islamabad,Islamabad Capital Territory,Private Non-Profit,On-campus,Evening,,,"[{""name"": ""HEC Ehsaas Undergraduate"", ""criteria"": ""Income < 500K PKR"", ""coverage"": ""100% Tuition""}, {""name"": ""University Merit Scholarship"", ""criteria"": ""High FSc Score / Test Top Positions"", ""coverage"": ""Varies Tuition Waiver""}]","{""affordability_score"": null, ""merit_probability"": null, ""market_value"": null}",https://nu.edu.pk/admissions,NULL - Agent fetch real-time fee for demanded dept,https://nu.edu.pk/admissions,W3,50,Standard,False
U009_MOR,Bahria University,Shalimar Drive Campus,Islamabad,Islamabad Capital Territory,Public,On-campus,Morning,,,"[{""name"": ""HEC Ehsaas Undergraduate"", ""criteria"": ""Income < 500K PKR"", ""coverage"": ""100% Tuition""}, {""name"": ""University Merit Scholarship"", ""criteria"": ""High FSc Score / Test Top Positions"", ""coverage"": ""Varies Tuition Waiver""}]","{""affordability_score"": null, ""merit_probability"": null, ""market_value"": null}",https://bahria.edu.pk/admissions,NULL - Agent fetch real-time fee for demanded dept,https://bahria.edu.pk/admissions,W3,50,Standard,False
U009_EVE,Bahria University,Shalimar Drive Campus,Islamabad,Islamabad Capital Territory,Public,On-campus,Evening,,,"[{""name"": ""HEC Ehsaas Undergraduate"", ""criteria"": ""Income < 500K PKR"", ""coverage"": ""100% Tuition""}, {""name"": ""University Merit Scholarship"", ""criteria"": ""High FSc Score / Test Top Positions"", ""coverage"": ""Varies Tuition Waiver""}]","{""affordability_score"": null, ""merit_probability"": null, ""market_value"": null}",https://bahria.edu.pk/admissions,NULL - Agent fetch real-time fee for demanded dept,https://bahria.edu.pk/admissions,W3,50,Standard,False
U010_MOR,Riphah International University,I-14 Campus,Islamabad,Islamabad Capital Territory,Private,On-campus,Morning,,,"[{""name"": ""HEC Ehsaas Undergraduate"", ""criteria"": ""Income < 500K PKR"", ""coverage"": ""100% Tuition""}, {""name"": ""University Merit Scholarship"", ""criteria"": ""High FSc Score / Test Top Positions"", ""coverage"": ""Varies Tuition Waiver""}]","{""affordability_score"": null, ""merit_probability"": null, ""market_value"": null}",https://riphah.edu.pk/admissions,NULL - Agent fetch real-time fee for demanded dept,https://riphah.edu.pk/admissions,W3,50,Standard,False
U010_EVE,Riphah International University,I-14 Campus,Islamabad,Islamabad Capital Territory,Private,On-campus,Evening,,,"[{""name"": ""HEC Ehsaas Undergraduate"", ""criteria"": ""Income < 500K PKR"", ""coverage"": ""100% Tuition""}, {""name"": ""University Merit Scholarship"", ""criteria"": ""High FSc Score / Test Top Positions"", ""coverage"": ""Varies Tuition Waiver""}]","{""affordability_score"": null, ""merit_probability"": null, ""market_value"": null}",https://riphah.edu.pk/admissions,NULL - Agent fetch real-time fee for demanded dept,https://riphah.edu.pk/admissions,W3,50,Standard,False
U011_MOR,Capital University of Science & Technology (CAPITAL),Islamabad Expressway Campus,Islamabad,Islamabad Capital Territory,Private,On-campus,Morning,,,"[{""name"": ""HEC Ehsaas Undergraduate"", ""criteria"": ""Income < 500K PKR"", ""coverage"": ""100% Tuition""}, {""name"": ""University Merit Scholarship"", ""criteria"": ""High FSc Score / Test Top Positions"", ""coverage"": ""Varies Tuition Waiver""}]","{""affordability_score"": null, ""merit_probability"": null, ""market_value"": null}",https://capital.edu.pk/,NULL - Agent fetch real-time fee for demanded dept,https://capital.edu.pk/,W3,50,Standard,False
U011_EVE,Capital University of Science & Technology (CAPITAL),Islamabad Expressway Campus,Islamabad,Islamabad Capital Territory,Private,On-campus,Evening,,,"[{""name"": ""HEC Ehsaas Undergraduate"", ""criteria"": ""Income < 500K PKR"", ""coverage"": ""100% Tuition""}, {""name"": ""University Merit Scholarship"", ""criteria"": ""High FSc Score / Test Top Positions"", ""coverage"": ""Varies Tuition Waiver""}]","{""affordability_score"": null, ""merit_probability"": null, ""market_value"": null}",https://capital.edu.pk/,NULL - Agent fetch real-time fee for demanded dept,https://capital.edu.pk/,W3,50,Standard,False
U012_MOR,National University of Modern Languages (NUML),H-9 Campus,Islamabad,Islamabad Capital Territory,Public,On-campus,Morning,,,"[{""name"": ""HEC Ehsaas Undergraduate"", ""criteria"": ""Income < 500K PKR"", ""coverage"": ""100% Tuition""}, {""name"": ""University Merit Scholarship"", ""criteria"": ""High FSc Score / Test Top Positions"", ""coverage"": ""Varies Tuition Waiver""}]","{""affordability_score"": null, ""merit_probability"": null, ""market_value"": null}",https://numl.edu.pk/admissions,NULL - Agent fetch real-time fee for demanded dept,https://numl.edu.pk/admissions,W3,50,Standard,False
U012_EVE,National University of Modern Languages (NUML),H-9 Campus,Islamabad,Islamabad Capital Territory,Public,On-campus,Evening,,,"[{""name"": ""HEC Ehsaas Undergraduate"", ""criteria"": ""Income < 500K PKR"", ""coverage"": ""100% Tuition""}, {""name"": ""University Merit Scholarship"", ""criteria"": ""High FSc Score / Test Top Positions"", ""coverage"": ""Varies Tuition Waiver""}]","{""affordability_score"": null, ""merit_probability"": null, ""market_value"": null}",https://numl.edu.pk/admissions,NULL - Agent fetch real-time fee for demanded dept,https://numl.edu.pk/admissions,W3,50,Standard,False
U013_MOR,Federal Urdu University of Arts Science & Technology (FUUAST),H-9 Campus,Islamabad,Islamabad Capital Territory,Public,On-campus,Morning,,,"[{""name"": ""HEC Ehsaas Undergraduate"", ""criteria"": ""Income < 500K PKR"", ""coverage"": ""100% Tuition""}, {""name"": ""University Merit Scholarship"", ""criteria"": ""High FSc Score / Test Top Positions"", ""coverage"": ""Varies Tuition Waiver""}]","{""affordability_score"": null, ""merit_probability"": null, ""market_value"": null}",https://fuuast.edu.pk/,NULL - Agent fetch real-time fee for demanded dept,https://fuuast.edu.pk/,,,,False
U014_MOR,Sir Syed CASE Institute of Technology,Islamabad Campus,Islamabad,Islamabad Capital Territory,Private,On-campus,Morning,,,"[{""name"": ""HEC Ehsaas Undergraduate"", ""criteria"": ""Income < 500K PKR"", ""coverage"": ""100% Tuition""}, {""name"": ""University Merit Scholarship"", ""criteria"": ""High FSc Score / Test Top Positions"", ""coverage"": ""Varies Tuition Waiver""}]","{""affordability_score"": null, ""merit_probability"": null, ""market_value"": null}",https://case.edu.pk/,NULL - Agent fetch real-time fee for demanded dept,https://case.edu.pk/,,,,False
U015_MOR,Shifa Tameer-e-Millat University,H-11 Campus,Islamabad,Islamabad Capital Territory,Private,On-campus,Morning,,,"[{""name"": ""HEC Ehsaas Undergraduate"", ""criteria"": ""Income < 500K PKR"", ""coverage"": ""100% Tuition""}, {""name"": ""University Merit Scholarship"", ""criteria"": ""High FSc Score / Test Top Positions"", ""coverage"": ""Varies Tuition Waiver""}]","{""affordability_score"": null, ""merit_probability"": null, ""market_value"": null}",https://stmup.edu.pk/,NULL - Agent fetch real-time fee for demanded dept,https://stmup.edu.pk/,,,,False
U016_MOR,Muslim Youth University,Islamabad Campus,Islamabad,Islamabad Capital Territory,Private,On-campus,Morning,,,"[{""name"": ""HEC Ehsaas Undergraduate"", ""criteria"": ""Income < 500K PKR"", ""coverage"": ""100% Tuition""}, {""name"": ""University Merit Scholarship"", ""criteria"": ""High FSc Score / Test Top Positions"", ""coverage"": ""Varies Tuition Waiver""}]","{""affordability_score"": null, ""merit_probability"": null, ""market_value"": null}",https://myu.edu.pk/,NULL - Agent fetch real-time fee for demanded dept,https://myu.edu.pk/,,,,False
U017_MOR,National University of Technology (NUTECH),H-11 Campus,Islamabad,Islamabad Capital Territory,Public,On-campus,Morning,,,"[{""name"": ""HEC Ehsaas Undergraduate"", ""criteria"": ""Income < 500K PKR"", ""coverage"": ""100% Tuition""}, {""name"": ""University Merit Scholarship"", ""criteria"": ""High FSc Score / Test Top Positions"", ""coverage"": ""Varies Tuition Waiver""}]","{""affordability_score"": null, ""merit_probability"": null, ""market_value"": null}",https://nutech.edu.pk/,NULL - Agent fetch real-time fee for demanded dept,https://nutech.edu.pk/,,,,False
U018_MOR,Pakistan Institute of Development Economics (PIDE),Sector F-10 Campus,Islamabad,Islamabad Capital Territory,Public,On-campus,Morning,,,"[{""name"": ""HEC Ehsaas Undergraduate"", ""criteria"": ""Income < 500K PKR"", ""coverage"": ""100% Tuition""}, {""name"": ""University Merit Scholarship"", ""criteria"": ""High FSc Score / Test Top Positions"", ""coverage"": ""Varies Tuition Waiver""}]","{""affordability_score"": null, ""merit_probability"": null, ""market_value"": null}",https://pide.org.pk/,NULL - Agent fetch real-time fee for demanded dept,https://pide.org.pk/,,,,False
U018_EVE,Pakistan Institute of Development Economics (PIDE),Sector F-10 Campus,Islamabad,Islamabad Capital Territory,Public,On-campus,Evening,,,"[{""name"": ""HEC Ehsaas Undergraduate"", ""criteria"": ""Income < 500K PKR"", ""coverage"": ""100% Tuition""}, {""name"": ""University Merit Scholarship"", ""criteria"": ""High FSc Score / Test Top Positions"", ""coverage"": ""Varies Tuition Waiver""}]","{""affordability_score"": null, ""merit_probability"": null, ""market_value"": null}",https://pide.org.pk/,NULL - Agent fetch real-time fee for demanded dept,https://pide.org.pk/,,,,False
U019_MOR,National Skills University,H-11 Campus,Islamabad,Islamabad Capital Territory,Public,On-campus,Morning,,,"[{""name"": ""HEC Ehsaas Undergraduate"", ""criteria"": ""Income < 500K PKR"", ""coverage"": ""100% Tuition""}, {""name"": ""University Merit Scholarship"", ""criteria"": ""High FSc Score / Test Top Positions"", ""coverage"": ""Varies Tuition Waiver""}]","{""affordability_score"": null, ""merit_probability"": null, ""market_value"": null}",https://nsu.edu.pk/,NULL - Agent fetch real-time fee for demanded dept,https://nsu.edu.pk/,,,,False
U020_MOR,IBADAT International University,Islamabad Campus,Islamabad,Islamabad Capital Territory,Private,On-campus,Morning,,,"[{""name"": ""HEC Ehsaas Undergraduate"", ""criteria"": ""Income < 500K PKR"", ""coverage"": ""100% Tuition""}, {""name"": ""University Merit Scholarship"", ""criteria"": ""High FSc Score / Test Top Positions"", ""coverage"": ""Varies Tuition Waiver""}]","{""affordability_score"": null, ""merit_probability"": null, ""market_value"": null}",https://ibadat.edu.pk/,NULL - Agent fetch real-time fee for demanded dept,https://ibadat.edu.pk/,,,,False
U021_MOR,Al-Hamd Islamic University,Islamabad Campus,Islamabad,Islamabad Capital Territory,Private,On-campus,Morning,,,"[{""name"": ""HEC Ehsaas Undergraduate"", ""criteria"": ""Income < 500K PKR"", ""coverage"": ""100% Tuition""}, {""name"": ""University Merit Scholarship"", ""criteria"": ""High FSc Score / Test Top Positions"", ""coverage"": ""Varies Tuition Waiver""}]","{""affordability_score"": null, ""merit_probability"": null, ""market_value"": null}",https://alhamd.edu.pk/,NULL - Agent fetch real-time fee for demanded dept,https://alhamd.edu.pk/,,,,False
U022_MOR,Abasyn University,Islamabad Campus,Islamabad,Islamabad Capital Territory,Private,On-campus,Morning,,,"[{""name"": ""HEC Ehsaas Undergraduate"", ""criteria"": ""Income < 500K PKR"", ""coverage"": ""100% Tuition""}, {""name"": ""University Merit Scholarship"", ""criteria"": ""High FSc Score / Test Top Positions"", ""coverage"": ""Varies Tuition Waiver""}]","{""affordability_score"": null, ""merit_probability"": null, ""market_value"": null}",https://abasyn.edu.pk/,NULL - Agent fetch real-time fee for demanded dept,https://abasyn.edu.pk/,,,,False
U023_MOR,Preston University,Islamabad Campus,Islamabad,Islamabad Capital Territory,Private,On-campus,Morning,,,"[{""name"": ""HEC Ehsaas Undergraduate"", ""criteria"": ""Income < 500K PKR"", ""coverage"": ""100% Tuition""}, {""name"": ""University Merit Scholarship"", ""criteria"": ""High FSc Score / Test Top Positions"", ""coverage"": ""Varies Tuition Waiver""}]","{""affordability_score"": null, ""merit_probability"": null, ""market_value"": null}",https://preston.edu.pk/,NULL - Agent fetch real-time fee for demanded dept,https://preston.edu.pk/,,,,False
U024_ONL,Allama Iqbal Open University (AIOU),Head Office (Distance Learning),Islamabad,Islamabad Capital Territory,Public,Online,Self-Paced,,,"[{""name"": ""HEC Ehsaas Undergraduate"", ""criteria"": ""Income < 500K PKR"", ""coverage"": ""100% Tuition""}, {""name"": ""University Merit Scholarship"", ""criteria"": ""High FSc Score / Test Top Positions"", ""coverage"": ""Varies Tuition Waiver""}]","{""affordability_score"": null, ""merit_probability"": null, ""market_value"": null}",https://aiou.edu.pk/,NULL - Agent fetch real-time fee for demanded dept,https://aiou.edu.pk/,,,,False
U025_ONL,Virtual University of Pakistan (VU),Head Office (Online),Islamabad,Islamabad Capital Territory,Public,Online,Self-Paced,,,"[{""name"": ""HEC Ehsaas Undergraduate"", ""criteria"": ""Income < 500K PKR"", ""coverage"": ""100% Tuition""}, {""name"": ""University Merit Scholarship"", ""criteria"": ""High FSc Score / Test Top Positions"", ""coverage"": ""Varies Tuition Waiver""}]","{""affordability_score"": null, ""merit_probability"": null, ""market_value"": null}",https://www.vu.edu.pk/admissions,NULL - Agent fetch real-time fee for demanded dept,https://www.vu.edu.pk/admissions,,,,False
U026_ONL,COMSATS University Islamabad (CUI),Virtual Campus (Online),Islamabad,Islamabad Capital Territory,Public,Online,Self-Paced,,,"[{""name"": ""HEC Ehsaas Undergraduate"", ""criteria"": ""Income < 500K PKR"", ""coverage"": ""100% Tuition""}, {""name"": ""University Merit Scholarship"", ""criteria"": ""High FSc Score / Test Top Positions"", ""coverage"": ""Varies Tuition Waiver""}]","{""affordability_score"": null, ""merit_probability"": null, ""market_value"": null}",https://vcomsats.edu.pk/,NULL - Agent fetch real-time fee for demanded dept,https://vcomsats.edu.pk/,,,,False
U027_MOR,University of Engineering and Technology (UET) Lahore,Kala Shah Kaku Main Campus,Lahore,Punjab,Public,On-campus,Morning,,,"[{""name"": ""HEC Ehsaas Undergraduate"", ""criteria"": ""Income < 500K PKR"", ""coverage"": ""100% Tuition""}, {""name"": ""University Merit Scholarship"", ""criteria"": ""High FSc Score / Test Top Positions"", ""coverage"": ""Varies Tuition Waiver""}]","{""affordability_score"": null, ""merit_probability"": null, ""market_value"": null}",https://uet.edu.pk/admissions,NULL - Agent fetch real-time fee for demanded dept,https://uet.edu.pk/admissions,,,,False
U027_EVE,University of Engineering and Technology (UET) Lahore,Kala Shah Kaku Main Campus,Lahore,Punjab,Public,On-campus,Evening,,,"[{""name"": ""HEC Ehsaas Undergraduate"", ""criteria"": ""Income < 500K PKR"", ""coverage"": ""100% Tuition""}, {""name"": ""University Merit Scholarship"", ""criteria"": ""High FSc Score / Test Top Positions"", ""coverage"": ""Varies Tuition Waiver""}]","{""affordability_score"": null, ""merit_probability"": null, ""market_value"": null}",https://uet.edu.pk/admissions,NULL - Agent fetch real-time fee for demanded dept,https://uet.edu.pk/admissions,,,,False
U028_MOR,University of the Punjab (PUCIT),New Campus,Lahore,Punjab,Public,On-campus,Morning,,,"[{""name"": ""HEC Ehsaas Undergraduate"", ""criteria"": ""Income < 500K PKR"", ""coverage"": ""100% Tuition""}, {""name"": ""University Merit Scholarship"", ""criteria"": ""High FSc Score / Test Top Positions"", ""coverage"": ""Varies Tuition Waiver""}]","{""affordability_score"": null, ""merit_probability"": null, ""market_value"": null}",https://pucit.edu.pk/,NULL - Agent fetch real-time fee for demanded dept,https://pucit.edu.pk/,,,,False
U028_EVE,University of the Punjab (PUCIT),New Campus,Lahore,Punjab,Public,On-campus,Evening,,,"[{""name"": ""HEC Ehsaas Undergraduate"", ""criteria"": ""Income < 500K PKR"", ""coverage"": ""100% Tuition""}, {""name"": ""University Merit Scholarship"", ""criteria"": ""High FSc Score / Test Top Positions"", ""coverage"": ""Varies Tuition Waiver""}]","{""affordability_score"": null, ""merit_probability"": null, ""market_value"": null}",https://pucit.edu.pk/,NULL - Agent fetch real-time fee for demanded dept,https://pucit.edu.pk/,,,,False
U029_MOR,University of the Punjab (Main Campus),Quaid-e-Azam Campus,Lahore,Punjab,Public,On-campus,Morning,,,"[{""name"": ""HEC Ehsaas Undergraduate"", ""criteria"": ""Income < 500K PKR"", ""coverage"": ""100% Tuition""}, {""name"": ""University Merit Scholarship"", ""criteria"": ""High FSc Score / Test Top Positions"", ""coverage"": ""Varies Tuition Waiver""}]","{""affordability_score"": null, ""merit_probability"": null, ""market_value"": null}",https://pu.edu.pk/,NULL - Agent fetch real-time fee for demanded dept,https://pu.edu.pk/,,,,False
U029_EVE,University of the Punjab (Main Campus),Quaid-e-Azam Campus,Lahore,Punjab,Public,On-campus,Evening,,,"[{""name"": ""HEC Ehsaas Undergraduate"", ""criteria"": ""Income < 500K PKR"", ""coverage"": ""100% Tuition""}, {""name"": ""University Merit Scholarship"", ""criteria"": ""High FSc Score / Test Top Positions"", ""coverage"": ""Varies Tuition Waiver""}]","{""affordability_score"": null, ""merit_probability"": null, ""market_value"": null}",https://pu.edu.pk/,NULL - Agent fetch real-time fee for demanded dept,https://pu.edu.pk/,,,,False
U030_MOR,Lahore University of Management Sciences (LUMS),Johar Town Main Campus,Lahore,Punjab,Private Non-Profit,On-campus,Morning,,,"[{""name"": ""HEC Ehsaas Undergraduate"", ""criteria"": ""Income < 500K PKR"", ""coverage"": ""100% Tuition""}, {""name"": ""University Merit Scholarship"", ""criteria"": ""High FSc Score / Test Top Positions"", ""coverage"": ""Varies Tuition Waiver""}]","{""affordability_score"": null, ""merit_probability"": null, ""market_value"": null}",https://admissions.lums.edu.pk/,NULL - Agent fetch real-time fee for demanded dept,https://admissions.lums.edu.pk/,,,,False
U031_MOR,Information Technology University (ITU),Arfa Software Technology Park,Lahore,Punjab,Public,On-campus,Morning,,,"[{""name"": ""HEC Ehsaas Undergraduate"", ""criteria"": ""Income < 500K PKR"", ""coverage"": ""100% Tuition""}, {""name"": ""University Merit Scholarship"", ""criteria"": ""High FSc Score / Test Top Positions"", ""coverage"": ""Varies Tuition Waiver""}]","{""affordability_score"": null, ""merit_probability"": null, ""market_value"": null}",https://itu.edu.pk/admissions,NULL - Agent fetch real-time fee for demanded dept,https://itu.edu.pk/admissions,,,,False
U031_EVE,Information Technology University (ITU),Arfa Software Technology Park,Lahore,Punjab,Public,On-campus,Evening,,,"[{""name"": ""HEC Ehsaas Undergraduate"", ""criteria"": ""Income < 500K PKR"", ""coverage"": ""100% Tuition""}, {""name"": ""University Merit Scholarship"", ""criteria"": ""High FSc Score / Test Top Positions"", ""coverage"": ""Varies Tuition Waiver""}]","{""affordability_score"": null, ""merit_probability"": null, ""market_value"": null}",https://itu.edu.pk/admissions,NULL - Agent fetch real-time fee for demanded dept,https://itu.edu.pk/admissions,,,,False
U032_MOR,COMSATS University Islamabad (CUI),Defence Road Campus,Lahore,Punjab,Public,On-campus,Morning,,,"[{""name"": ""HEC Ehsaas Undergraduate"", ""criteria"": ""Income < 500K PKR"", ""coverage"": ""100% Tuition""}, {""name"": ""University Merit Scholarship"", ""criteria"": ""High FSc Score / Test Top Positions"", ""coverage"": ""Varies Tuition Waiver""}]","{""affordability_score"": null, ""merit_probability"": null, ""market_value"": null}",https://comsats.edu.pk/admissions,NULL - Agent fetch real-time fee for demanded dept,https://comsats.edu.pk/admissions,,,,False
U032_EVE,COMSATS University Islamabad (CUI),Defence Road Campus,Lahore,Punjab,Public,On-campus,Evening,,,"[{""name"": ""HEC Ehsaas Undergraduate"", ""criteria"": ""Income < 500K PKR"", ""coverage"": ""100% Tuition""}, {""name"": ""University Merit Scholarship"", ""criteria"": ""High FSc Score / Test Top Positions"", ""coverage"": ""Varies Tuition Waiver""}]","{""affordability_score"": null, ""merit_probability"": null, ""market_value"": null}",https://comsats.edu.pk/admissions,NULL - Agent fetch real-time fee for demanded dept,https://comsats.edu.pk/admissions,,,,False
